num_transactions,block_size,block_time_ms,tps,num_shards
1048576,1024,106.13,9657.72,1
1048576,1024,74.76,13711.13,2
1048576,1024,50.19,20410.35,4
1048576,1024,40.77,25227.46,8
1044480,1024,34.00,30025.89,12
1048576,1024,26.05,39309.56,16
1032192,1024,25.39,39869.72,24
1048576,2048,204.88,10029.28,1
1048576,2048,117.43,17554.21,2
1048576,2048,80.67,25405.37,4
1048576,2048,55.16,37434.34,8
1044480,2048,54.76,37961.43,12
1048576,2048,50.64,40449.22,16
1044480,2048,38.80,52879.77,24
1048576,4096,390.20,10504.08,1
1048576,4096,215.60,19024.94,2
1048576,4096,128.98,31795.30,4
1048576,4096,86.19,47738.26,8
1047552,4096,77.52,53459.38,12
1048576,4096,71.83,58037.50,16
1044480,4096,64.47,63512.72,24
1048576,8192,795.25,10318.85,1
1048576,8192,433.90,18885.57,2
1048576,8192,230.60,35555.65,4
1048576,8192,139.99,58636.03,8
1047552,8192,134.51,61238.96,12
1048576,8192,121.21,68883.16,16
1047552,8192,96.93,85126.65,24
1048576,16384,1617.47,10133.45,1
1048576,16384,807.50,20308.61,2
1048576,16384,439.92,37255.67,4
1048576,16384,250.56,65426.61,8
1048320,16384,240.54,68296.77,12
1048576,16384,222.94,73857.33,16
1047552,16384,181.98,90208.79,24
1048576,32768,3137.37,10444.70,1
1048576,32768,1555.24,21071.11,2
1048576,32768,836.94,39162.61,4
1048576,32768,483.97,67820.09,8
1048320,32768,437.60,75106.55,12
1048576,32768,404.71,81176.27,16
1048320,32768,355.63,92407.31,24
1048576,65536,5952.47,11009.96,1
1048576,65536,3234.93,20298.22,2
1048576,65536,1635.09,40131.92,4
1048576,65536,935.14,70229.16,8
1048512,65536,822.89,80106.83,12
1048576,65536,739.15,88759.77,16
1048320,65536,689.73,95068.08,24
1048576,131072,11805.79,11102.39,1
1048576,131072,6384.25,20557.98,2
1048576,131072,3299.02,39837.05,4
1048576,131072,1816.40,72235.95,8
1048512,131072,1557.57,84851.64,12
1048576,131072,1360.49,96459.57,16
1048512,131072,1275.50,102943.67,24
1048576,262144,23565.88,11123.95,1
1048576,262144,11945.61,21945.39,2
1048576,262144,6462.06,40676.27,4
1048576,262144,3307.95,79333.28,8
1048560,262144,2921.92,90899.20,12
1048576,262144,2637.32,99467.21,16
1048512,262144,2477.00,106214.25,24